IsisCube.Core.StartByte,"65537"
IsisCube.Core.Format,"Tile"
IsisCube.Core.TileSamples,"128"
IsisCube.Core.TileLines,"336"
IsisCube.Core.Dimensions.Samples,"1138"
IsisCube.Core.Dimensions.Lines,"672"
IsisCube.Core.Dimensions.Bands,"1"
IsisCube.Core.Pixels.Type,"Real"
IsisCube.Core.Pixels.ByteOrder,"Lsb"
IsisCube.Core.Pixels.Base,"0.0"
IsisCube.Core.Pixels.Multiplier,"1.0"
IsisCube.Instrument.SpacecraftName,"Mars_Reconnaissance_Orbiter"
IsisCube.Instrument.InstrumentId,"CTX"
IsisCube.Instrument.TargetName,"Mars"
IsisCube.Instrument.MissionPhaseName,"ESP"
IsisCube.Instrument.StartTime,"2018-08-19T02:11:16.832"
IsisCube.Instrument.SpacecraftClockCount,"1219111926:238"
IsisCube.Instrument.OffsetModeId,"197/218/211"
IsisCube.Instrument.LineExposureDuration,"1.877 <MSEC>"
IsisCube.Instrument.FocalPlaneTemperature,"298.3 <K>"
IsisCube.Instrument.SampleBitModeId,"SQROOT"
IsisCube.Instrument.SpatialSumming,"1"
IsisCube.Instrument.SampleFirstPixel,"0"
IsisCube.Archive.DataSetId,"MRO-M-CTX-2-EDR-L0-V1.0"
IsisCube.Archive.ProductId,"K08_056540_0912_XI_88S135W"
IsisCube.Archive.ProducerId,"MRO_CTX_TEAM"
IsisCube.Archive.ProductCreationTime,"2019-01-08T21:22:47"
IsisCube.Archive.OrbitNumber,"56540"
IsisCube.BandBin.FilterName,"BroadBand"
IsisCube.BandBin.Center,"0.65 <micrometers>"
IsisCube.BandBin.Width,"0.15 <micrometers>"
IsisCube.Kernels.NaifFrameCode,"-74021"
IsisCube.Kernels.LeapSecond,"$base/kernels/lsk/naif0012.tls"
IsisCube.Kernels.TargetAttitudeShape,"$base/kernels/pck/pck00009.tpc"
IsisCube.Kernels.TargetPosition,"(Table, $base/kernels/spk/de405.bsp)"
IsisCube.Kernels.InstrumentPointing,"(Table, $mro/kernels/ck/mro_sc_psp_180814_180820.bc, $mro/kernels/fk/mro_v15.tf)"
IsisCube.Kernels.Instrument,"Null"
IsisCube.Kernels.SpacecraftClock,"$mro/kernels/sclk/MRO_SCLKSCET.00081.65536.tsc"
IsisCube.Kernels.InstrumentPosition,"(Table, $mro/kernels/spk/mro_psp48.bsp)"
IsisCube.Kernels.InstrumentAddendum,"$mro/kernels/iak/mroctxAddendum005.ti"
IsisCube.Kernels.ShapeModel,"$base/dems/molaMarsPlanetaryRadius0005.cub"
IsisCube.Kernels.InstrumentPositionQuality,"Reconstructed"
IsisCube.Kernels.InstrumentPointingQuality,"Reconstructed"
IsisCube.Kernels.CameraVersion,"1"
IsisCube.Radiometry.FlatFile,"/usgs/cpkgs/isis3/data/mro/calibration/ctxFlat_0002.cub"
IsisCube.Radiometry.iof,"1.46287460032551e-04"
IsisCube.Mapping.ProjectionName,"PolarStereographic"
IsisCube.Mapping.CenterLongitude,"237.31766733628"
IsisCube.Mapping.TargetName,"Mars"
IsisCube.Mapping.EquatorialRadius,"3396190.0 <meters>"
IsisCube.Mapping.PolarRadius,"3376200.0 <meters>"
IsisCube.Mapping.LatitudeType,"Planetocentric"
IsisCube.Mapping.LongitudeDirection,"PositiveEast"
IsisCube.Mapping.LongitudeDomain,"360"
IsisCube.Mapping.MinimumLatitude,"-89.277488230462"
IsisCube.Mapping.MaximumLatitude,"-88.007067564344"
IsisCube.Mapping.MinimumLongitude,"193.3722784309"
IsisCube.Mapping.MaximumLongitude,"281.26305624167"
IsisCube.Mapping.UpperLeftCornerX,"-71200.0 <meters>"
IsisCube.Mapping.UpperLeftCornerY,"100500.0 <meters>"
IsisCube.Mapping.PixelResolution,"100.0 <meters/pixel>"
IsisCube.Mapping.Scale,"589.25806205833 <pixels/degree>"
IsisCube.Mapping.CenterLatitude,"-90.0"
IsisCube.AlphaCube.AlphaSamples,"5000"
IsisCube.AlphaCube.AlphaLines,"18432"
IsisCube.AlphaCube.AlphaStartingSample,"0.5"
IsisCube.AlphaCube.AlphaStartingLine,"0.5"
IsisCube.AlphaCube.AlphaEndingSample,"5000.5"
IsisCube.AlphaCube.AlphaEndingLine,"18432.5"
IsisCube.AlphaCube.BetaSamples,"5000"
IsisCube.AlphaCube.BetaLines,"18432"
Label.Bytes,"65536"
Table.Name,"SunPosition"
Table.StartByte,"4952649"
Table.Bytes,"112"
Table.Records,"2"
Table.ByteOrder,"Lsb"
Table.Field.Name,"ET"
Table.Field.Type,"Double"
Table.Field.Size,"1"
Table.TimeDependentFrames,"(10014, 1)"
Table.ConstantFrames,"(-74021, -74020, -74699, -74690, -74000)"
