IsisCube.Core.StartByte,"65537"
IsisCube.Core.Format,"Tile"
IsisCube.Core.TileSamples,"128"
IsisCube.Core.TileLines,"128"
IsisCube.Core.Dimensions.Samples,"205"
IsisCube.Core.Dimensions.Lines,"8000"
IsisCube.Core.Dimensions.Bands,"1"
IsisCube.Core.Pixels.Type,"SignedWord"
IsisCube.Core.Pixels.ByteOrder,"Lsb"
IsisCube.Core.Pixels.Base,"0.74982829408263"
IsisCube.Core.Pixels.Multiplier,"2.28941223156642e-05"
IsisCube.Instrument.SpacecraftName,"MARS RECONNAISSANCE ORBITER"
IsisCube.Instrument.InstrumentId,"HIRISE"
IsisCube.Instrument.TargetName,"Mars"
IsisCube.Instrument.StartTime,"2008-01-16T15:52:50.571"
IsisCube.Instrument.StopTime,"2008-01-16T15:52:57.596"
IsisCube.Instrument.ObservationStartCount,"884965990:11081"
IsisCube.Instrument.SpacecraftClockStartCount,"884965990:20076"
IsisCube.Instrument.SpacecraftClockStopCount,"884965997:21715"
IsisCube.Instrument.ReadoutStartCount,"884966356:07730"
IsisCube.Instrument.CalibrationStartTime,"2008-01-16T15:52:50.556"
IsisCube.Instrument.CalibrationStartCount,"884965990:19110"
IsisCube.Instrument.AnalogPowerStartTime,"2008-01-16T15:49:31.089"
IsisCube.Instrument.AnalogPowerStartCount,"884965790:54069"
IsisCube.Instrument.MissionPhaseName,"PRIMARY SCIENCE PHASE"
IsisCube.Instrument.LineExposureDuration,"87.8125 <MICROSECONDS>"
IsisCube.Instrument.ScanExposureDuration,"87.8125 <MICROSECONDS>"
IsisCube.Instrument.DeltaLineTimerCount,"221"
IsisCube.Instrument.Summing,"1"
IsisCube.Instrument.Tdi,"128"
IsisCube.Instrument.FocusPositionCount,"2023"
IsisCube.Instrument.PoweredCpmmFlag,"(On, On, On, On, On, On, On, On, On, On, On, On, On, On)"
IsisCube.Instrument.CpmmNumber,"8"
IsisCube.Instrument.CcdId,"RED5"
IsisCube.Instrument.ChannelNumber,"2"
IsisCube.Instrument.LookupTableType,"Stored"
IsisCube.Instrument.LookupTableNumber,"17"
IsisCube.Instrument.LookupTableMinimum,"-9998"
IsisCube.Instrument.LookupTableMaximum,"-9998"
IsisCube.Instrument.LookupTableMedian,"-9998"
IsisCube.Instrument.LookupTableKValue,"-9998"
IsisCube.Instrument.StimulationLampFlag,"(Off, Off, Off)"
IsisCube.Instrument.HeaterControlFlag,"(On, On, On, On, On, On, On, On, On, On, On, On, On, On)"
IsisCube.Instrument.OptBnchFlexureTemperature,"19.5881 <C>"
IsisCube.Instrument.OptBnchMirrorTemperature,"20.1949 <C>"
IsisCube.Instrument.OptBnchFoldFlatTemperature,"19.9348 <C>"
IsisCube.Instrument.OptBnchFpaTemperature,"19.9348 <C>"
IsisCube.Instrument.OptBnchFpeTemperature,"19.8482 <C>"
IsisCube.Instrument.OptBnchLivingRmTemperature,"19.5881 <C>"
IsisCube.Instrument.OptBnchBoxBeamTemperature,"19.9348 <C>"
IsisCube.Instrument.OptBnchCoverTemperature,"19.9348 <C>"
IsisCube.Instrument.FieldStopTemperature,"18.2017 <C>"
IsisCube.Instrument.FpaPositiveYTemperature,"21.8425 <C>"
IsisCube.Instrument.FpaNegativeYTemperature,"21.5823 <C>"
IsisCube.Instrument.FpeTemperature,"19.1548 <C>"
IsisCube.Instrument.PrimaryMirrorMntTemperature,"19.5015 <C>"
IsisCube.Instrument.PrimaryMirrorTemperature,"19.6748 <C>"
IsisCube.Instrument.PrimaryMirrorBafTemperature,"1.61905 <C>"
IsisCube.Instrument.MsTrussLeg0ATemperature,"19.5015 <C>"
IsisCube.Instrument.MsTrussLeg0BTemperature,"19.7615 <C>"
IsisCube.Instrument.MsTrussLeg120ATemperature,"19.1548 <C>"
IsisCube.Instrument.MsTrussLeg120BTemperature,"19.8482 <C>"
IsisCube.Instrument.MsTrussLeg240ATemperature,"20.0215 <C>"
IsisCube.Instrument.MsTrussLeg240BTemperature,"20.3683 <C>"
IsisCube.Instrument.BarrelBaffleTemperature,"-15.9678 <C>"
IsisCube.Instrument.SunShadeTemperature,"-31.8154 <C>"
IsisCube.Instrument.SpiderLeg30Temperature,"9.63837 <C>"
IsisCube.Instrument.SpiderLeg120Temperature,"-9999"
IsisCube.Instrument.SpiderLeg240Temperature,"-9999"
IsisCube.Instrument.SecMirrorMtrRngTemperature,"19.5881 <C>"
IsisCube.Instrument.SecMirrorTemperature,"19.9348 <C>"
IsisCube.Instrument.SecMirrorBaffleTemperature,"-13.0597 <C>"
IsisCube.Instrument.IeaTemperature,"27.1384 <C>"
IsisCube.Instrument.FocusMotorTemperature,"21.1487 <C>"
IsisCube.Instrument.IePwsBoardTemperature,"25.9367 <C>"
